molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL1852503,Cc1nc(C(=O)NCCCN2CCN(c3cccc(Cl)c3Cl)CC2)c(C)n1-c1ccc2c(c1)OCCO2,8.63,
CHEMBL1852373,COc1ccc(-n2cc(C(=O)NCCCN3CCN(c4cccc(C)c4C)CC3)nc2-c2ccccc2)cc1,19.0,
CHEMBL1852501,Cc1cccc(N2CCN(C[C@H](O)CNC(=O)c3nc(C)n(-c4ccccc4)c3C)CC2)c1C,72.5,
CHEMBL1852485,COc1ccc(-n2c(C)nc(C(=O)NCCCN3CCN(c4cccc(Cl)c4Cl)CC3)c2C)cc1,20.0,
CHEMBL1852359,Cc1cccc(N2CCN(CCCNC(=O)c3nc(C)n(-c4ccccc4Cl)c3C)CC2)c1C,80.0,
CHEMBL3681370,Cc1ccc(-n2c(C)nc(C(=O)NCC(O)CN3CCN(c4cccc(C)c4C)CC3)c2C)cc1,68.2,
CHEMBL3681371,CCc1c(C(=O)NCCCN2CCN(c3cccc(Cl)c3)CC2)nc(-c2ccc(Cl)cc2Cl)n1-c1ccc(Br)cc1,1262.0,
CHEMBL1852552,Cc1c(Cl)cccc1N1CCN(CCCNC(=O)c2nc(C)n(-c3ccccc3F)c2C)CC1,40.0,
CHEMBL1852505,COc1ccc(-n2c(C)nc(C(=O)NCCCN3CCN(c4cccc(Cl)c4C)CC3)c2C)cc1,23.1,
CHEMBL1852358,Cc1c(Cl)cccc1N1CCN(C[C@@H](O)CNC(=O)c2nc(-c3ccccc3)n(-c3ccc(F)cc3)c2C)CC1,20.1,
CHEMBL3681354,CCc1c(C(=O)NCCCN2CCN(c3cccc(C)c3C)CC2)nc(-c2ccc(Cl)cc2Cl)n1-c1ccc(Br)cc1,127.0,
CHEMBL1852374,Cc1cccc(N2CCN(C[C@@H](O)CNC(=O)c3nc(C)n(-c4ccccc4)c3C)CC2)c1C,646.0,
CHEMBL27,CC(C)NCC(O)COc1cccc2ccccc12,5011.87,
CHEMBL3805649,CNC(=O)c1cc(OCCCCN2CCN(c3cccc4sccc34)CC2)ccc1F,80.0,
CHEMBL3805165,CNC(=O)c1cccc(OCCCCN2CCN(c3cccc4c3OC(F)(F)O4)CC2)c1,10000.0,
CHEMBL3652596,Cn1ncc(Cl)c1-c1cc(NC(=O)C(=O)c2cc(Br)cs2)ccc1OCCN,1.2,
CHEMBL3665547,COc1cccc(C(=O)Nc2ccc(OCCO)c(-c3c(Cl)cnn3C)c2)c1,0.51,
CHEMBL4096467,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2(F)F.Cl,7.1,
CHEMBL1621,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O,5.2,
CHEMBL4060678,Cc1nc2n(c(=O)c1CCN1CCN(c3nsc4ccccc34)CC1)CCCC2O,5.18,
CHEMBL4083333,Cc1nc2n(c(=O)c1CCN1CCN(c3cccc4sccc34)CC1)CCCC2,1.19,
CHEMBL4087246,Cc1nc2n(c(=O)c1CCN1CCN(c3cccc4c3CCS4)CC1)CCCC2O,26.4,
CHEMBL4064609,Cc1nc2n(c(=O)c1CCN1CCN(c3ncnc4sccc34)CC1)CCCC2O,1110.0,
CHEMBL4171368,CCC[C@@H](CCO)Nc1nc(N)nc2cc(OC)ccc12,1780.0,
CHEMBL4205326,CNC(=O)c1cncc(OCCCCN2CCN(c3nsc4cc(F)ccc34)CC2)c1,152.0,
CHEMBL4218526,CCNC(=O)c1cncc(OCCCCN2CCC(c3noc4cc(F)ccc34)CC2)c1,94.2,
CHEMBL4214528,CNC(=O)c1cc(OCCCCN2CCN(c3cccc(Cl)c3Cl)CC2)ccn1,476.0,
CHEMBL4209705,CCNC(=O)c1ccnc(OCCCCN2CCC(c3noc4cc(F)ccc34)CC2)c1,67.5,
CHEMBL4205772,CNC(=O)c1cccc(OCCCCN2CCC(c3noc4cc(F)ccc34)CC2)n1,134.0,
CHEMBL4202443,CNC(=O)c1cccc(OCCCCN2CCN(c3cccc4sccc34)CC2)n1,106.0,
CHEMBL1112,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1100.0,
